headline,link
"बारामा एकै परिवारका २ को हत्या, ३ जना घाइते ",https://ekantipur.com/madhesh-pradesh/2026/01/28/2-members-of-the-same-family-killed-3-injured-in-bara-36-00.html
स्वचालित मार्गबाट स्वीकृत हुने विदेशी लगानीको सीमा हट्यो,https://ekantipur.com/business/2026/01/28/limit-on-foreign-investment-approved-through-automatic-route-removed-27-39.html
द्रुतमार्गमा ‘खोकना समस्या’ समाधानमा प्रधानमन्त्रीको चासो,https://ekantipur.com/business/2026/01/28/prime-ministers-interest-in-solving-coughing-problem-on-expressway-29-26.html
मधेशका ३२ सिट : पुराना दलको बर्चस्व कि नयाँको उदय?,https://ekantipur.com/politics/2026/01/27/32-seats-in-madhesh-dominance-of-old-parties-or-rise-of-new-ones-57-42.html
पार्टी प्रमुखहरूलाई देशैभरि महिला उम्मेदवारको कडा चुनौती,https://ekantipur.com/politics/2026/01/27/female-candidate-challenges-party-chief-15-55.html
"हिमालमा चुनाव, पोखरा–काठमाडौंमा घरदैलो",https://ekantipur.com/politics/2026/01/28/elections-in-the-himalayas-door-to-door-campaigning-in-pokhara-kathmandu-11-13.html
चिसो छल्न गाउँ छाडेका मतदाता कसरी फर्कन्छन् ?,https://ekantipur.com/politics/2026/01/28/how-do-voters-who-left-their-villages-to-escape-the-cold-return-13-56.html
‘उत्तेजक’ र ‘भड्काउ’ अभिव्यक्तिमाथि बढाइयो निगरानी,https://ekantipur.com/news/2026/01/27/increased-surveillance-over-provocative-and-inciting-expressions-33-46.html
"इराकको श्रमस्वीकृतिमा श्रम मन्त्रालयको विभेद: कम्पनीमा काम गर्नेलाई स्वीकृति, घरेलु श्रमिकलाई निषेध",https://ekantipur.com/business/2026/01/28/labor-ministrys-discrimination-in-iraqs-labor-approval-approval-for-those-working-in-companies-prohibition-for-domestic-workers-26-07.html
राइड सेयरिङ कम्पनी इन्ड्राइभले चालकलाई सुरक्षा तालिम दियो ,https://ekantipur.com/Other/2026/01/22/ride-sharing-company-indrive-provides-safety-training-to-drivers-50-05.html
पूर्वप्रदेशसभा सदस्य सिन्हाको निधन,https://ekantipur.com/news/2026/01/27/former-provincial-assembly-member-sinha-passes-away-12-32.html
संसद् पुन:स्थापनाको मुद्दामा पेसीको हल्लापछि सर्वोच्चको प्रस्टोक्ति : साधारण तारेख मात्र हो,https://ekantipur.com/news/2026/01/27/supreme-court-clarifies-after-rumors-of-lawsuit-on-parliament-restoration-issue-it-is-just-a-simple-date-39-43.html
रास्वपा सभापति लामिछाने अस्पताल भर्ना ,https://ekantipur.com/news/2026/01/27/rashtriya-swayamsevak-sangh-rss-president-lamichhane-admitted-to-hospital-44-18.html
दूध दुहुने प्रतियोगितात्मक ‘रियालिटी शो’ को विजेता बने ताराप्रसाद,https://ekantipur.com/news/2026/01/27/tara-prasad-becomes-winner-of-milking-competition-reality-show-02-28.html
"सिमलताल बस दुर्घटना : पार्टपुर्जा काटेर निकालियो, उत्खनन रोकियो",https://ekantipur.com/news/2026/01/27/simaltal-bus-accident-parts-removed-excavation-stopped-34-38.html
अरुण तेस्रो आयोजनामा कार्यरत एक मजदुर मृत फेला,https://ekantipur.com/koshi-pradesh/2026/01/27/a-worker-working-at-the-arun-iii-project-was-found-dead-04-07.html
क्यान्सरपीडित पत्रकारलाई घुमन्ते टिमको आर्थिक सहयोग,https://ekantipur.com/koshi-pradesh/2026/01/27/traveling-team-provides-financial-support-to-cancer-stricken-journalists-33-56.html
"जबरजस्ती करणी आरोपमा एक किशोरसहित दुई पक्राउ, अर्का किशाेर फरार",https://ekantipur.com/koshi-pradesh/2026/01/27/two-arrested-including-a-teenager-on-charges-of-rape-another-teenager-absconding-13-13.html
धनकुटामा माघ १५ बाट निर्वाचन प्रहरीलाई तालिम,https://ekantipur.com/koshi-pradesh/2026/01/27/training-for-election-police-in-dhankuta-from-magh-15-10-05.html
एलाइट कपका लागि सुनसरीको क्रिकेट टिम घोषणा,https://ekantipur.com/koshi-pradesh/2026/01/27/sunsari-cricket-team-announced-for-elite-cup-12-51.html
नाल्बुमा वडास्तरीय फुटबल माघ २५ देखि,https://ekantipur.com/koshi-pradesh/2026/01/27/ward-level-football-in-nalbu-from-magh-25-52-34.html
"बारामा एकै परिवारका २ को हत्या, ३ जना घाइते ",https://ekantipur.com/madhesh-pradesh/2026/01/28/2-members-of-the-same-family-killed-3-injured-in-bara-36-00.html
रौतहटको गुजरा नगर उप–प्रमुखमाथि कुटपिट,https://ekantipur.com/madhesh-pradesh/2026/01/27/rautahats-gujra-nagar-deputy-mayor-beaten-up-46-50.html
नक्कली नोटको जोखिम बढेपछि सतर्क रहन संघको आग्रह,https://ekantipur.com/madhesh-pradesh/2026/01/27/association-urges-vigilance-as-risk-of-counterfeit-notes-increases-02-49.html
सप्तरीमा निर्वाचन आचारसंहिता उल्लंघनका सामग्री हटाउने सहमति,https://ekantipur.com/madhesh-pradesh/2026/01/27/agreement-to-remove-content-violating-election-code-of-conduct-in-saptari-33-32.html
मरहा नदीमा रातभरि अवैध उत्खनन्,https://ekantipur.com/madhesh-pradesh/2026/01/27/illegal-mining-continues-overnight-in-marha-river-23-41.html
निर्वाचन आचारसंहिता उल्लंघन हुँदा पनि अनुगमन समिति हेरेको हेर्‍यै,https://ekantipur.com/madhesh-pradesh/2026/01/27/even-when-the-election-code-of-conduct-is-violated-the-monitoring-committee-is-watching-52-29.html
हेटौंडा अस्पतालमा ६ महिनामा १ सय १२ किशोरीले लिए सुत्केरी सेवा,https://ekantipur.com/bagmati-pradesh/2026/01/27/112-teen-mothers-in-hetauda-hospital-in-6-months-51-36.html
हेटौंडाको सडक विस्तार मुद्दामा मिसिल झिकाउने आदेश,https://ekantipur.com/bagmati-pradesh/2026/01/27/order-to-withdraw-case-file-in-hetauda-road-expansion-case-59-16.html
बागमती प्रदेशमा ४६ वटा बहुवर्षीय योजना स्वीकृत,https://ekantipur.com/bagmati-pradesh/2026/01/27/46-multi-year-plans-approved-in-bagmati-province-01-22.html
जेन–जी आन्दोलनमा फरार कैदी पक्राउ,https://ekantipur.com/bagmati-pradesh/2026/01/27/escaped-prisoner-arrested-in-gen-g-movement-28-01.html
त्रिशूली नदी किनारमा गणपति डिलक्सबाट मानव अवशेष भेटियो,https://ekantipur.com/bagmati-pradesh/2026/01/26/human-remains-found-from-ganapati-deluxe-on-the-banks-of-the-trishuli-river-11-36.html
चुरियामाई नजिक डिजेल ट्यांकरमा आगलागी,https://ekantipur.com/bagmati-pradesh/2026/01/26/fire-in-diesel-tanker-near-churiyamai-31-52.html
तेस्रो म्यादमा पूरा भयो निर्वाचन प्रहरीको आवेदन,https://ekantipur.com/gandaki-pradesh/2026/01/27/election-police-application-completed-in-third-deadline-47-40.html
सिंगा तातोपानीमा बजार संरक्षण योजना कार्यान्वयनमा,https://ekantipur.com/gandaki-pradesh/2026/01/27/market-protection-plan-being-implemented-in-singa-tatopani-37-18.html
स्कुल बसले किच्दा बालिकाको मृत्यु,https://ekantipur.com/gandaki-pradesh/2026/01/26/girl-dies-after-being-hit-by-school-bus-58-28.html
भारतीय बुवा र नेपाली आमाबाट जन्मेका युवकलाई नेपाली नागरिकता,https://ekantipur.com/gandaki-pradesh/2026/01/25/nepali-citizenship-for-a-young-man-born-to-an-indian-father-and-a-nepali-mother-38-51.html
"तनहुँको थर्पुमा भ्यान दुर्घटना, १३ वर्षीया बालिकाको मृत्यु",https://ekantipur.com/gandaki-pradesh/2026/01/25/van-accident-in-tharpu-tanahun-13-year-old-girl-dies-07-07.html
गोरखा नगरपालिका मेयर कप फुटबल प्रतियोगिता सुरु,https://ekantipur.com/gandaki-pradesh/2026/01/24/gorkha-municipality-mayors-cup-football-tournament-begins-36-38.html
पहुँचका भरमा निर्वाचन प्रहरीमा भर्ना गरिएको भन्दै बर्दिया प्रशासनमा घेराउ,https://ekantipur.com/lumbini-pradesh/2026/01/27/bardiya-administration-under-siege-for-hiring-election-police-based-on-access-44-29.html
गुल्मीमा सुन्तला उत्पादन ३२ प्रतिशतले घट्यो,https://ekantipur.com/lumbini-pradesh/2026/01/27/orange-production-in-gulmi-drops-by-32-percent-09-14.html
लुम्बिनी प्रदेशसभामा दुई नयाँ विधेयक पेस,https://ekantipur.com/lumbini-pradesh/2026/01/27/two-new-bills-presented-in-lumbini-provincial-assembly-18-05.html
"तीन वर्षदेखि युक्रेनमा 'बन्दी' छन् विवेक, रिहाइका लागि परिवारको गुहार",https://ekantipur.com/lumbini-pradesh/2026/01/27/vivek-has-been-a-prisoner-of-war-in-ukraine-for-three-years-appealing-to-the-government-for-his-release-58-10.html
रोल्पाका १ दर्जन मतदानस्थल 'अति संवेदनशील',https://ekantipur.com/lumbini-pradesh/2026/01/27/a-dozen-polling-stations-in-rolpa-are-highly-sensitive-41-37.html
‘क्यूआर कोड’बाट सुझाव संकलन गर्दै पाल्पाका कांग्रेस–एमाले उम्मेदवार,https://ekantipur.com/lumbini-pradesh/2026/01/27/congress-uml-candidate-from-palpa-collecting-suggestions-through-qr-code-37-36.html
विमानस्थल सञ्चालनमा ल्याउने उम्मेदवार बुढाको अठोट,https://ekantipur.com/karnali-pradesh/2026/01/27/candidate-budhas-determination-to-bring-the-airport-into-operation-54-11.html
कालीकोटका ७४ मतदानस्थल ‘अति संवेदनशील’,https://ekantipur.com/karnali-pradesh/2026/01/27/74-polling-stations-in-kalikot-highly-sensitive-31-17.html
डोजरले हिउँ पन्छाएर खुलाइयो नाग्म–गमगडी सडक,https://ekantipur.com/karnali-pradesh/2026/01/27/nagam-gamgadi-road-cleared-of-snow-with-dozers-54-15.html
"हिमपातले बाटो बन्द, कसरी फर्किन्छन् मतदाता ?",https://ekantipur.com/karnali-pradesh/2026/01/26/roads-closed-due-to-snowfall-how-will-voters-return-31-24.html
"पोल गाडेको वर्ष बित्यो, बलेन बत्ती",https://ekantipur.com/karnali-pradesh/2026/01/26/a-year-has-passed-since-the-pole-was-buried-but-the-lamp-has-not-been-lit-36-51.html
हिमाली पालिकाका उपाध्यक्ष भन्छन्- 'तराजुले ताैलेझैं समान व्यवहार गरेका छाैं',https://ekantipur.com/karnali-pradesh/2026/01/26/the-vice-chairman-of-the-himali-municipality-says-we-have-treated-each-other-equally-like-the-scales-39-21.html
बालेन्द्र शाह बुधबार डडेल्धुरा आउँदै,https://ekantipur.com/sudurpaschim-pradesh/2026/01/27/balendra-shah-to-arrive-in-dadeldhura-on-wednesday-32-20.html
पाटन नगरपालिकामा बुधबार सार्वजनिक विदा,https://ekantipur.com/sudurpaschim-pradesh/2026/01/27/public-holiday-in-patan-municipality-on-wednesday-34-18.html
बैतडीमा तीन वर्षमा १६ कुष्ठरोगी भेटिए,https://ekantipur.com/sudurpaschim-pradesh/2026/01/27/16-leprosy-patients-found-in-baitadi-in-three-years-04-42.html
मेलौलीका विद्यालयमा तीन दिन बिदा,https://ekantipur.com/sudurpaschim-pradesh/2026/01/26/three-day-holiday-for-schools-in-melauli-29-43.html
डडेल्धुरामा कुष्ठरोगसम्बन्धी अन्तर्क्रिया सम्पन्न,https://ekantipur.com/sudurpaschim-pradesh/2026/01/25/leprosy-related-interaction-held-in-dadeldhura-45-51.html
‘भोट बैंक’ नबन्ने भन्दै चुनाव बहिष्कारको चेतावनी,https://ekantipur.com/sudurpaschim-pradesh/2026/01/25/warning-of-election-boycott-saying-it-will-not-become-a-vote-bank-32-54.html
अब कुनै दलसँग एकता गर्दिनँ : कुलमान घिसिङ,https://ekantipur.com/video/2026/01/12/i-will-not-unite-with-any-party-now-kulman-ghising-25-12.html
दैलेखमा भेटिएको ग्यासको उत्पादन र वितरण कहिलेबाट होला ?,https://ekantipur.com/video/2025/09/04/from-when-will-the-production-and-distribution-of-the-gas-found-in-dailekh-be-00-38.html
तपाईं सीसीटीभीको निगरानीमा हुनुहुन्छ,https://ekantipur.com/video/2025/09/01/how-are-closed-circuit-cameras-monitoring-the-valley-56-34.html
कमजोर पटकथामा अल्झिएको 'माग्ने राजा',https://ekantipur.com/video/2025/08/27/entangled-in-a-weak-screenplay-magne-raja-38-58.html
त्रिवि क्रिकेट मैदानको पुनर्निर्माण सकिँदै,https://ekantipur.com/video/2025/08/08/the-reconstruction-of-the-trivi-cricket-ground-is-being-completed-57-46.html
लुम्बिनी विकास कोषका कर्मचारीहरू किन आन्दोलन गरिरहेका छन् ?,https://ekantipur.com/video/2025/08/05/why-are-lumbini-development-fund-employees-protesting-16-48.html
A Health and Nutrition Knowledge Quiz,https://ekantipur.com/video/2025/08/05/why-are-lumbini-development-fund-employees-protesting-16-48.html
यस्तो छ आजका लागि निर्धारण गरिएको विदेशी मुद्राको विनिमयदर,https://ekantipur.com/business/2026/01/28/this-is-the-foreign-currency-exchange-rate-determined-for-today-28-46.html
"निगमका अध्यक्ष विक्रम राईको राजीनामा स्वीकृति अन्योल, सरकार मौन",https://ekantipur.com/business/2026/01/27/confusion-over-acceptance-of-ncc-chairman-bikram-rais-resignation-government-silent-46-18.html
सम्भव परियोजनाहरु अघि बढाउन अर्थमन्त्री खनालद्वारा लगानी बोर्डलाई निर्देशन,https://ekantipur.com/business/2026/01/27/finance-minister-khanal-directs-investment-board-to-advance-feasible-projects-28-10.html
बुटवल–नारायणगढ सडकमा ६१ पुल निर्माण सम्पन्न,https://ekantipur.com/business/2026/01/27/construction-of-61-bridges-completed-on-butwal-narayangadh-road-28-29.html
नेप्सेसँगै कारोबार रकम पनि घट्यो,https://ekantipur.com/business/2026/01/27/trading-volume-also-decreased-along-with-nepse-27-28.html
कर छुटको निर्णयमै अल्झियो चक्रपथ दोस्रो खण्ड विस्तारको काम,https://ekantipur.com/business/2026/01/27/the-second-section-of-the-ring-road-expansion-project-is-stuck-in-the-tax-exemption-decision-13-50.html
प्रथम लिङ्तेप गोल्डकपको उपाधि पाँचथरको कुम्मायकलाई,https://ekantipur.com/sports/2026/01/28/kummayak-of-panchthar-wins-first-lingtep-gold-cup-title-42-46.html
१५ औं खुम्बु ल्होसार कप फुटबल हुने,https://ekantipur.com/sports/2026/01/28/15th-khumbu-lhosar-cup-football-to-be-held-36-50.html
अल्कारेज पहिलो पटक सेमिफाइनलमा,https://ekantipur.com/sports/2026/01/28/alcarez-reaches-semifinals-for-first-time-35-20.html
गल्फर भुवनको सुरुआती अग्रता,https://ekantipur.com/sports/2026/01/28/golfer-bhuvans-early-lead-33-56.html
एनसेल छैटौं टाइगर कप: न्यु डायमन्ड उपाधि नजिक,https://ekantipur.com/sports/2026/01/28/ncell-6th-tiger-cup-new-diamonds-close-to-title-31-27.html
शान्तिराम राईको एकल सांगीतिक कार्यक्रम सम्पन्न,https://ekantipur.com/entertainment/2026/01/27/shanti-ram-rais-solo-concert-concludes-48-43.html
‘आ बाट आमा’को सेन्सर पास,https://ekantipur.com/entertainment/2026/01/27/aa-bat-aama-passes-censors-30-47.html
जिके पोखरेलको गीत ‘इन्दिरा’ सार्वजनिक,https://ekantipur.com/entertainment/2026/01/27/zk-pokharels-song-indira-released-12-38.html
'बहुरिया'मा अधिकार खोज्ने सिता,https://ekantipur.com/entertainment/2026/01/26/sita-seeks-power-in-bahuriya-08-25.html
"चलचित्रको विकास, विस्तार र प्रवर्द्धन हुने गरी कानून परिमार्जन हुँदैछ : मन्त्री सिन्हा",https://ekantipur.com/entertainment/2026/01/26/laws-are-being-amended-to-develop-expand-and-promote-films-minister-sinha-50-57.html
बक्स अफिसमा बाजी मार्यो गोबर गणेशले,https://ekantipur.com/entertainment/2026/01/26/balchi-leaving-behind-gifts-and-kindness-20-51.html
"मेक्सिकोको फुटबल मैदानमा भएको आक्रमणमा ११ जनाको मृत्यु, १२ घाइते",https://ekantipur.com/world/2026/01/27/11-killed-12-injured-in-attack-on-soccer-stadium-in-mexico-09-02.html
अमेरिकामा भीषण आँधी : कम्तीमा ३० जनाको मृत्यु,https://ekantipur.com/world/2026/01/27/severe-storms-in-america-at-least-30-dead-20-25.html
"चीनमा सीपछिका शीर्ष जनरल कारबाहीमा, सैन्य आयोगमा ७ मध्ये ५ पद रिक्त",https://ekantipur.com/world/2026/01/27/top-generals-in-china-after-xi-jinpings-arrest-5-out-of-7-posts-vacant-in-military-commission-42-31.html
बंगलादेशमा तीन प्रहरीलाई मृत्युदण्डको सजाय ,https://ekantipur.com/world/2026/01/27/three-police-officers-sentenced-to-death-in-bangladesh-54-44.html
अमेरिकी आर्माडा ईरान नजिक,https://ekantipur.com/world/2026/01/27/us-armada-near-iran-26-17.html
"५२ प्रतिशत मतदाता युवा, उम्मेदवार भने ३१ प्रतिशत",https://ekantipur.com/feature/2026/01/25/52-percent-of-voters-are-young-31-percent-of-candidates-are-young-46-35.html
दृष्टि फर्कँदा नाचगान गरेर खुसियाली,https://ekantipur.com/feature/2026/01/24/when-you-regain-your-sight-you-dance-and-sing-happily-06-29.html
धानसँगै फल्यो नाम र दाम,https://ekantipur.com/feature/2026/01/22/fame-and-fortune-grew-along-with-rice-46-26.html
शिक्षामा जनता माविको सान,https://ekantipur.com/feature/2026/01/22/janata-mavis-reputation-in-education-07-14.html
त्रिशूलीमा बस तानिरहेका ‘टायर कान्छा’,https://ekantipur.com/feature/2026/01/22/tire-is-small-49-47.html
बडघर छान्न व्यस्त थारु बस्ती,https://ekantipur.com/feature/2026/01/16/rush-to-choose-a-house-in-tharu-settlement-34-10.html
विदेश पठाउने भन्दै २७ लाख ८० हजार ठगी गर्ने तीन जना पक्राउ,https://ekantipur.com/national/2026/01/27/three-arrested-for-defrauding-rs-278-million-by-promising-to-send-money-abroad-06-47.html
सुन्धारा कारागारबाट भागेका कैदी पक्राउ,https://ekantipur.com/national/2026/01/27/prisoner-who-escaped-from-sundhara-prison-arrested-04-40.html
१ लाख रुपैयाँभन्दा धेरैको चाँदीका गहना चोरी,https://ekantipur.com/national/2026/01/27/silver-jewelry-worth-over-rs-1-lakh-stolen-58-18.html
मर्मतपछि काठमाडौं महानगरका सार्वजनिक कुर्सी यथावत् स्थानमै राखिँदै,https://ekantipur.com/national/2026/01/26/kathmandu-metropolitan-citys-public-chairs-are-being-kept-in-their-original-locations-after-repairs-07-06.html
काठमाडौंका दुई स्थानबाट ब्राउनसुगरसहित ४ जना पक्राउ,https://ekantipur.com/national/2026/01/26/4-people-arrested-with-brown-sugar-from-two-locations-in-kathmandu-52-48.html
बाल सुधारगृहमा आगजनी र तोडफोड : सबै बालबिज्याइँकर्तालाई अन्यत्रै सारियो,https://ekantipur.com/national/2026/01/23/arson-and-vandalism-at-juvenile-correctional-home-all-juveniles-transferred-elsewhere-44-22.html
प्रतिनिधिसभा निर्वाचन २०८२,https://ekantipur.com/national/2026/01/23/arson-and-vandalism-at-juvenile-correctional-home-all-juveniles-transferred-elsewhere-44-22.html
घोषणापत्रमा कृषि रूपान्तरण एजेन्डा,https://ekantipur.com/opinion/2026/01/28/agricultural-transformation-agenda-in-the-manifesto-13-19.html
चुनाव : एक रमाइलो अभ्यास,https://ekantipur.com/opinion/2026/01/28/election-a-fun-exercise-16-52.html
कर्मचारीतन्त्रमा सुधार नभई सुशासन असम्भव,https://ekantipur.com/opinion/2026/01/28/good-governance-is-impossible-without-reforming-the-bureaucracy-02-26.html
जीवन्त निर्वाचनका लागि भयरहित वातावरण,https://ekantipur.com/opinion/2026/01/28/fear-free-environment-for-vibrant-elections-55-34.html
कान्तिपुरका स्तम्भहरु,https://ekantipur.com/opinion/2026/01/28/fear-free-environment-for-vibrant-elections-55-34.html
हाम्रा अन्य प्रकाशनहरु,https://ekantipur.com/opinion/2026/01/28/fear-free-environment-for-vibrant-elections-55-34.html
